PATIENT	POP
NA06986	CEU
NA06994	CEU
NA07051	CEU
NA07347	CEU
NA07357	CEU
NA10851	CEU
NA11829	CEU
NA11831	CEU
NA11881	CEU
NA11919	CEU
NA11994	CEU
NA12003	CEU
NA12005	CEU
NA12043	CEU
NA12045	CEU
NA12144	CEU
NA12154	CEU
NA12155	CEU
NA12716	CEU
NA12750	CEU
NA12760	CEU
NA12762	CEU
NA12812	CEU
NA12814	CEU
NA12872	CEU
NA12874	CEU
NA18558	CHB
NA18561	CHB
NA18562	CHB
NA18563	CHB
NA18572	CHB
NA18603	CHB
NA18605	CHB
NA18608	CHB
NA18609	CHB
NA18638	CHB
NA18940	JPT
NA18943	JPT
NA18944	JPT
NA18945	JPT
NA18948	JPT
NA18952	JPT
NA18953	JPT
NA18959	JPT
NA18960	JPT
NA18961	JPT
NA18965	JPT
NA18967	JPT
NA18970	JPT
NA18971	JPT
NA18974	JPT
NA19005	JPT
NA18486	YRI
NA18498	YRI
NA18501	YRI
NA18504	YRI
NA18507	YRI
NA18510	YRI
NA18516	YRI
NA18519	YRI
NA18522	YRI
NA18853	YRI
NA18856	YRI
NA18871	YRI
NA19098	YRI
NA19119	YRI
NA19138	YRI
NA19141	YRI
NA19144	YRI
NA19153	YRI
NA19160	YRI
NA19171	YRI
NA19200	YRI
NA19207	YRI
NA19210	YRI
